,"('D', 'D')","('D', 'I')","('D', 'J')","('D', 'G')","('D', 'C')","('D', 'F')","('D', 'H')","('D', 'B')","('D', 'A')","('D', 'E')","('I', 'D')","('I', 'I')","('I', 'J')","('I', 'G')","('I', 'C')","('I', 'F')","('I', 'H')","('I', 'B')","('I', 'A')","('I', 'E')","('J', 'D')","('J', 'I')","('J', 'J')","('J', 'G')","('J', 'C')","('J', 'F')","('J', 'H')","('J', 'B')","('J', 'A')","('J', 'E')","('G', 'D')","('G', 'I')","('G', 'J')","('G', 'G')","('G', 'C')","('G', 'F')","('G', 'H')","('G', 'B')","('G', 'A')","('G', 'E')","('C', 'D')","('C', 'I')","('C', 'J')","('C', 'G')","('C', 'C')","('C', 'F')","('C', 'H')","('C', 'B')","('C', 'A')","('C', 'E')","('F', 'D')","('F', 'I')","('F', 'J')","('F', 'G')","('F', 'C')","('F', 'F')","('F', 'H')","('F', 'B')","('F', 'A')","('F', 'E')","('H', 'D')","('H', 'I')","('H', 'J')","('H', 'G')","('H', 'C')","('H', 'F')","('H', 'H')","('H', 'B')","('H', 'A')","('H', 'E')","('B', 'D')","('B', 'I')","('B', 'J')","('B', 'G')","('B', 'C')","('B', 'F')","('B', 'H')","('B', 'B')","('B', 'A')","('B', 'E')","('A', 'D')","('A', 'I')","('A', 'J')","('A', 'G')","('A', 'C')","('A', 'F')","('A', 'H')","('A', 'B')","('A', 'A')","('A', 'E')","('E', 'D')","('E', 'I')","('E', 'J')","('E', 'G')","('E', 'C')","('E', 'F')","('E', 'H')","('E', 'B')","('E', 'A')","('E', 'E')"
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,,,11.394267984578835,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,,,11.394267984578835,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,,,,,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,,,11.394267984578835,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,,,,,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,,,11.394267984578835,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,9.011647870223289,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,,,11.394267984578835,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,10.904925124490397,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,,,,,,9.011647870223289,,,,,,,,,,,,,,,,11.394267984578835,,,,,10.904925124490397,,,,11.394267984578835,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,10.904925124490397,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,,,,,9.011647870223289,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,,,11.394267984578835,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,13.094304566778266,13.921795677048454,,,,9.011647870223289,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,13.921795677048454,,11.394267984578835,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,,,,10.904925124490397,,,,,,,11.037260313668911,,,,,,,,,11.037260313668911,,,13.094304566778266,13.921795677048454,,,,9.011647870223289,,,,,,,,,,,,,13.094304566778266,,,11.394267984578835,,,,,10.904925124490397,,13.921795677048454,,11.394267984578835,,,,,,,,,,,,
