,"('H', 'H')","('H', 'E')","('H', 'A')","('H', 'B')","('H', 'F')","('H', 'G')","('H', 'I')","('H', 'D')","('H', 'C')","('H', 'J')","('E', 'H')","('E', 'E')","('E', 'A')","('E', 'B')","('E', 'F')","('E', 'G')","('E', 'I')","('E', 'D')","('E', 'C')","('E', 'J')","('A', 'H')","('A', 'E')","('A', 'A')","('A', 'B')","('A', 'F')","('A', 'G')","('A', 'I')","('A', 'D')","('A', 'C')","('A', 'J')","('B', 'H')","('B', 'E')","('B', 'A')","('B', 'B')","('B', 'F')","('B', 'G')","('B', 'I')","('B', 'D')","('B', 'C')","('B', 'J')","('F', 'H')","('F', 'E')","('F', 'A')","('F', 'B')","('F', 'F')","('F', 'G')","('F', 'I')","('F', 'D')","('F', 'C')","('F', 'J')","('G', 'H')","('G', 'E')","('G', 'A')","('G', 'B')","('G', 'F')","('G', 'G')","('G', 'I')","('G', 'D')","('G', 'C')","('G', 'J')","('I', 'H')","('I', 'E')","('I', 'A')","('I', 'B')","('I', 'F')","('I', 'G')","('I', 'I')","('I', 'D')","('I', 'C')","('I', 'J')","('D', 'H')","('D', 'E')","('D', 'A')","('D', 'B')","('D', 'F')","('D', 'G')","('D', 'I')","('D', 'D')","('D', 'C')","('D', 'J')","('C', 'H')","('C', 'E')","('C', 'A')","('C', 'B')","('C', 'F')","('C', 'G')","('C', 'I')","('C', 'D')","('C', 'C')","('C', 'J')","('J', 'H')","('J', 'E')","('J', 'A')","('J', 'B')","('J', 'F')","('J', 'G')","('J', 'I')","('J', 'D')","('J', 'C')","('J', 'J')"
0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,13.094304566778266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.094304566778266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,11.394267984578835,,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,11.394267984578835,,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,10.904925124490397,,,,,,,,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,,,,,,,,,,
8,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,11.394267984578835,,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,9.011647870223289,,,,,,,,,
9,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,11.394267984578835,,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,9.011647870223289,,,,,,,,,
10,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,11.394267984578835,,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,9.011647870223289,,,,,,,,,
11,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,11.394267984578835,13.921795677048454,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,13.921795677048454,13.094304566778266,,,,,,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.011647870223289,,,,,,,,,
12,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,11.394267984578835,13.921795677048454,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,13.921795677048454,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,9.011647870223289,,,,,,,,,
13,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,11.394267984578835,13.921795677048454,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,13.921795677048454,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,9.011647870223289,,,,,,,,,
14,,,,,,,,,,9.011647870223289,,,,,,,,,,,,,,11.394267984578835,13.921795677048454,10.904925124490397,,,,,,,11.394267984578835,,13.094304566778266,,,,,,,,13.921795677048454,13.094304566778266,,,,,11.037260313668911,,,,10.904925124490397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037260313668911,,,,,,9.011647870223289,,,,,,,,,
